nr,intrebare,raspuns_sistem,verdict
11,Câte credite are materia Baze de Date?,"Din informațiile disponibile, nu pot oferi un răspuns precis cu privire la numărul de credite al materiei **Baze de Date** de la ciclul de licență, deoarece sursele furnizate nu conțin această informație specifică.

Sursele disponibile menționează materia „Baze de Date"" ca făcând parte din planul de învățământ al anului III de licență, dar **nu specifică numărul de credite** asociat acesteia.

Pentru a afla numărul exact de credite, îți recomand să:
- Consulți **planul de învățământ** oficial de pe site-ul facultății (acs.pub.ro)
- Contactezi **secretariatul facultății**
- Verifici **platforma de e-learning** sau sistemul informatic al universității (de exemplu, Moodle sau sistemul de gestiune academică)",
12,Câte credite are disciplina Sisteme de Operare?,"Din informațiile disponibile, nu găsesc o disciplină denumită exact „Sisteme de Operare"" cu numărul de credite specificat în planurile de învățământ furnizate.

Totuși, în sursele disponibile apare disciplina **„Introducere în Sisteme de Operare""**, care are **4 credite ECTS**, conform planurilor de învățământ AIA 2023-2027 și 2024-2028.

De asemenea, există un curs de **„Sisteme de Operare""** menționat în contextul programului de masterat (SCPD), însă numărul de credite pentru acesta nu este specificat în informațiile disponibile.

Îți recomand să verifici planul de învățământ specific programului tău de studii pe site-ul facultății (acs.pub.ro) sau să contactezi secretariatul pentru informații precise despre disciplina „Sisteme de Operare"".",
13,Care este numărul de credite alocat cursului de Rețele de Calculatoare?,"Pe baza informațiilor disponibile din sursele furnizate, nu pot oferi un răspuns precis cu privire la numărul de credite alocat specific cursului de **Rețele de Calculatoare**, deoarece acest curs nu apare explicit cu numărul de credite în documentele disponibile.

Sursele conțin informații despre cursuri conexe, cum ar fi:
- **Proiectarea rețelelor** – 5 credite ECTS (din planul de învățământ 2023-2027 și 2024-2028)
- **Rețele de Calculatoare în Automatizări** – menționat în contextul Departamentului AII, fără a specifica numărul de credite

Vă recomand să consultați direct **planul de învățământ** de pe site-ul facultății la adresa [www.acs.pub.ro](http://www.acs.pub.ro), secțiunea **Studii > Licență > Plan de învățământ**, sau să contactați secretariatul facultății pentru informații precise despre cursul de Rețele de Calculatoare și creditele aferente.",
14,Câte credite are Analiza și Prelucrarea Semnalelor?,"Nu dețin informații specifice despre numărul de credite alocat disciplinei **Analiza și Prelucrarea Semnalelor** în sursele disponibile.

Pentru a afla numărul exact de credite, îți recomand să consulți:
- **Planul de învățământ** al specializării tale, disponibil pe site-ul facultății
- **Secretariatul facultății**
- **Platforma academică** (de exemplu, orar.cs.pub.ro sau site-ul departamentului)

Dacă îmi spui la ce specializare și an de studiu ești înscris, te pot îndruma mai bine către sursa potrivită.",
15,Care este numărul minim de credite necesar pentru promovarea anului II?,"## Numărul minim de credite pentru promovarea anului II

Răspunsul diferă în funcție de ciclul de studii:

### Studii universitare de **licență**
Conform Regulamentului privind Sistemul European de Credite Transferabile, pentru trecerea în **anul II** este necesar un minim de **35 ECTS** (din cele 60 aferente unui an complet).

### Studii universitare de **masterat**
Pentru trecerea în **anul II** al masteratului sunt necesare **minim 35 ECTS**, din care:
- **minimum 10 ECTS** aferente activităților de cercetare/practică (pentru masteratele de cercetare)
- **minimum 15 ECTS** din activitățile didactice

> ⚠️ **Notă:** Broșurile de masterat ale ACS specifică condiții mai stricte pentru promovarea din anul I în anul II:
> - promovarea activității de cercetare pe ambele semestre (**20 credite**)
> - obținerea a **minim 25 credite** pentru activitățile didactice (din cele 40 disponibile)

---

Pentru detalii suplimentare, consultați **Regulamentul privind organizarea și funcționarea procesului de învățământ** de la nivelul UPB sau al facultății ACS.",
16,Câte credite are materia de Proiect de Diplomă?,"Numărul de credite pentru materia de **Proiect de Diplomă** (sau „Elaborarea proiectului de diplomă"") variază în funcție de promoție și specializare:

- **6 credite** – pentru studenții din promoțiile **2025-2029**, atât la specializarea **Calculatoare**, cât și la **Tehnologia Informației**
- **4 credite** – pentru studenții din promoțiile **2023-2027** și **2024-2028**, la specializările **Calculatoare** și **Tehnologia Informației**
- **4 credite** – pentru studenții din promoțiile **2023-2027** și **2024-2028**, la specializarea **Automatică și Informatică Aplicată (AIA)**

De asemenea, conform Regulamentului ECTS al Politehnica București, **examenele de finalizare a studiilor de licență** se creditează separat cu **10 ECTS**.

Dacă dorești informații precise, îți recomand să verifici planul de învățământ corespunzător promoției și specializării tale.",
17,Câte credite acumulez dacă promovez toate materiile din semestrul I anul III?,"Conform regulamentului ECTS, un semestru are asociat un număr standard de **30 de credite** pentru disciplinele obligatorii și opționale (Articolul 6, alin. 3: *„Disciplinele obligatorii şi opționale au asociate obligatoriu un număr total de 30 de credite pe semestru""*).

Prin urmare, dacă promovezi toate materiile din **semestrul I al anului III**, vei acumula **30 de credite ECTS**.

Totuși, dacă urmezi și discipline **facultative** și le promovezi, poți acumula credite suplimentare peste acest număr standard.

> ⚠️ **Notă:** Nu am acces la planul de învățământ specific specializării tale pentru a-ți confirma distribuția exactă a creditelor pe discipline în semestrul I, anul III. Îți recomand să consulți planul de învățământ al specializării tale de pe site-ul facultății sau să contactezi secretariatul ACS pentru detalii precise.",
18,Câte credite are disciplina Tehnici de Compilare?,"Nu dețin informații specifice despre numărul de credite alocat disciplinei **Tehnici de Compilare** în sursele disponibile. Planurile de învățământ furnizate nu conțin detalii despre această disciplină în mod explicit.

Îți recomand să verifici:
- **Planul de învățământ** al specializării tale, disponibil pe site-ul facultății (acs.pub.ro)
- **Fișa disciplinei** în platforma academică a universității
- Secretariatul facultății sau coordonatorul de an",
19,Ce pondere are laboratorul față de curs la Baze de Date?,"Nu am găsit în sursele disponibile fișa disciplinei specifică pentru **Baze de Date** care să conțină ponderea exactă a laboratorului față de curs în nota finală.

Sursele disponibile oferă informații despre conținutul cursului și al laboratorului de Baze de Date (de pe site-ul Departamentului AII), dar **nu includ secțiunea de evaluare** cu ponderile aferente.

Îți recomand să consulți:
- **Fișa disciplinei Baze de Date** disponibilă pe site-ul facultății: [acs.pub.ro](https://acs.pub.ro) sau pe platforma [curs.upb.ro](https://curs.upb.ro)
- **Departamentul AII** direct, pentru informații actualizate despre evaluare",
20,Câte credite are materia de Practică?,"Pe baza informațiilor disponibile, nu pot oferi un răspuns exact cu privire la numărul de credite al materiei de **Practică**, deoarece acesta variază în funcție de programul de studii și anul de studiu.

Totuși, conform **Regulamentului ECTS** (Articolul 3, alin. 16):

> *„Disciplinele complexe sau integrate, activitatea de cercetare științifică și practica pot avea, de regulă, până la **10-12 ECTS**.""*

Pentru a afla numărul exact de credite alocat Practicii în programul tău specific, îți recomand să consulți:
- **Planul de învățământ** al programului tău de studii (disponibil pe site-ul facultății)
- **Secretariatul facultății** sau **coordonatorul de an**

Dacă îmi specifici programul de studii (ex: Calculatoare, Tehnologia Informației, Automatică și Informatică Aplicată etc.) și anul de studiu, pot încerca să găsesc informații mai precise din sursele disponibile.",
21,Cum depun o cerere de reexaminare?,"Îmi pare rău, dar informațiile disponibile în sursele furnizate nu conțin detalii specifice despre procedura de depunere a unei **cereri de reexaminare** (contestație la un examen).

Sursele disponibile se referă în principal la:
- Înscrierea la examenele de finalizare a studiilor (licență/disertație)
- Admiterea la programe de studii
- Taxe studențești

**Îți recomand să:**
- Contactezi **secretariatul facultății** pentru informații despre procedura de reexaminare
- Consulți **Regulamentul de activitate profesională a studenților** de pe site-ul facultății (acs.pub.ro)
- Te adresezi **secretarului de an** sau **unui cadru didactic** din facultate",
22,Care este procedura pentru recunoașterea creditelor transferate de la altă facultate?,"# Procedura pentru Recunoașterea Creditelor Transferate de la Altă Facultate

Conform **Regulamentului privind Sistemul European de Credite Transferabile** al POLITEHNICA București, procedura de recunoaștere a creditelor implică mai multe aspecte importante:

---

## 1. Condiții obligatorii pentru transfer

Creditele se recunosc, echivalează și transferă **doar dacă sunt îndeplinite cumulativ** următoarele condiții:

- ✅ Ambele instituții de învățământ superior sunt **acreditate instituțional**
- ✅ Programele de studii au **același nivel de calificare** în Cadrul European al Calificărilor
- ✅ Programele de studii sunt în **același domeniu fundamental**
- ✅ Programele de studii conduc către **competențe/rezultate ale învățării similare**

---

## 2. Modalități de integrare a creditelor

Creditele obținute în cadrul altor programe pot fi integrate prin trei proceduri distincte:

| Procedură | Condiție |
|-----------|----------|
| **Acceptare** | Diferențele de conținut sunt sesizabile, dar tolerabile |
| **Recunoaștere** | Diferențele de conținut sunt sesizabile, dar finalitățile sunt identice |
| **Echivalare** | Conținutul este identic |

---

## 3. Cum se realizează transferul

- Transferul se face **la cererea studentului**, pe baza unei **convenții între instituțiile de învățământ implicate**
- Transferul poate fi operat **numai în cadrul aceluiași ciclu de studii universitare** (ex: licență cu licență)
- Dacă părțile au încheiat un **acord/contract de studii după modelul ECTS**, acesta are putere legală
- Transferul se poate face pe discipline individuale, **grupuri de discipline (module)** sau pe **perioade compacte de studiu**

---

## 4. Principiul imperisabilității creditelor

Creditele odată obținute **se recunosc pe întreaga durată a școlarității** și recunoașterea lor nu este afectată de modificările din programă sau planul de învățământ.

---

## 5. Cazul mobilităților Erasmus+

Pentru studenții care revin dintr-o mobilitate Erasmus+, **Comisia de Recunoaștere Academică** din facultate asigură recunoașterea *in integrum* a creditelor ECTS obținute, pe baza documentului *Transcript of Records*, conform Learning Agreement aprobat anterior mobilității.

---

> ⚠️ **Recomandare:** Pentru detalii specifice și inițierea procedurii, contactați **Secretariatul Facultății ACS** sau **Coordonatorul ECTS** al facultății, deoarece aprobarea finală revine **Biroului Executiv al Facultății**.",
23,Unde depun cererea de întrerupere a studiilor?,"Pe baza informațiilor disponibile, nu pot oferi un răspuns detaliat specific despre procedura de depunere a cererii de **întrerupere a studiilor**.

Din sursele disponibile, știu că **secretariatul facultății** se ocupă, printre altele, de activitatea de „întreruperea de studii"" (menționat în Raportul QA 2023), însă nu am detalii despre procedura exactă sau documentele necesare pentru această cerere.

**Recomandarea mea** este să contactezi direct **Secretariatul Facultății de Automatică și Calculatoare** pentru informații precise privind:
- unde se depune cererea de întrerupere a studiilor,
- ce documente sunt necesare,
- termenele aplicabile.

Poți contacta secretariatul prin intermediul paginii oficiale a facultății sau te poți prezenta direct la sediul acesteia.",
24,Ce documente sunt necesare pentru înscrierea la examenul de diplomă?,"# Documente necesare pentru înscrierea la examenul de diplomă

Înscrierea se efectuează individual pe platforma **studenti.pub.ro**, iar documentele necesare sunt:

## Documente obligatorii pentru toți absolvenții:

1. **Cererea de înscriere la examen** – se descarcă de pe platforma studenti.pub.ro, se completează și se semnează de către absolvent, apoi se încarcă scanat pe platformă

2. **Copia buletinului/cărții de identitate sau a pașaportului** în format electronic, scanat

3. **Declarația de originalitate** a proiectului de diplomă/lucrării de disertație – se descarcă de pe platforma studenti.pub.ro, se completează și se semnează, apoi se încarcă scanat

4. **Dovada completării chestionarului de angajabilitate** de pe platforma studenti.pub.ro

5. **Proiectul de diplomă sau lucrarea de disertație** – se încarcă pe platforma studenti.pub.ro (pentru verificarea antiplagiat)

6. **Certificatul de competență lingvistică** – pentru studenții Facultății de Automatică și Calculatoare, datele se actualizează **automat** în sistem, fără intervenția studentului

## Documente suplimentare:

- **Doar pentru studenții străini:** copia Scrisorii/Ordinului Ministerului de acceptare la studii
- **Doar pentru absolvenții de licență:** două fotografii recente, color, format 3x4 cm, depuse la secretariatul facultății
- **Pentru cei care repetă examenul sau au studiat cu taxă:** chitanța de plată a taxei de examen

## Condiții prealabile înscrierii:
- Promovarea **tuturor activităților obligatorii** din planul de învățământ
- **Lipsa datoriilor** financiare sau materiale față de universitate

> ⚠️ Înscrierea se face de regulă cu **10-14 zile înainte** de începerea sesiunii. Calendarul exact este anunțat în fiecare an pe site-ul facultății.",
25,Cum mă înscriu la o restanță?,"Îmi pare rău, dar din informațiile disponibile nu am detalii specifice despre procedura de înscriere la o **restanță** (examen de mărire sau reexaminare în sesiunea de restanțe).

Documentele din sursele disponibile se referă în principal la:
- Înscrierea la **examenele de finalizare a studiilor** (licență/disertație)
- Organizarea sesiunilor de restanțe în context pandemic (2020)

**Îți recomand să:**
1. Contactezi **secretariatul facultății ACS** pentru informații actualizate despre procedura de înscriere la restanțe
2. Verifici platforma **studenti.pub.ro**, unde se gestionează de obicei activitățile academice
3. Consulți **regulamentul de studii** al UPB/ACS pentru detalii despre condițiile de înscriere la restanțe

Secretariatul ACS poate fi contactat direct pentru a primi instrucțiuni precise și actualizate.",
26,Care este procedura de contestație a notei la un examen?,"Conform informațiilor disponibile, procedura de contestație a notei la un examen include următoarele aspecte:

## Dreptul la contestație

Conform **Codului drepturilor și obligațiilor studentului**, studenții au dreptul **de a contesta notele obținute la examenele scrise**, conform regulamentelor interne ale universității.

## Procedura de soluționare

- **Comisia de contestații** este formată din cadre didactice **care nu au participat la evaluarea inițială** a lucrării;
- Contestația va fi rezolvată **în prezența studentului contestator**, dacă acesta solicită acest lucru.

## Mențiuni importante

Sursele disponibile nu oferă detalii complete despre termenele exacte de depunere a contestațiilor pentru examene sau pașii procedurali specifici facultății ACS. Totuși, ca referință, în cazul **selecției pentru mobilități Erasmus+**, contestațiile trebuie depuse în **termen de 48 de ore** de la afișarea rezultatelor și sunt soluționate în **3 zile lucrătoare**.

---

> ⚠️ **Recomandare:** Pentru detalii complete privind procedura de contestație la examene, vă sfătuiesc să consultați **Secretariatul facultății ACS** sau **Regulamentul de examinare al UPB**, deoarece informațiile disponibile nu acoperă în totalitate această procedură specifică.",
27,Cum obțin o adeverință de student?,"Conform informațiilor disponibile, pentru a obține o adeverință de student la Facultatea de Automatică și Calculatoare, procedura este următoarea:

## Solicitarea adeverinței de student

Trebuie să trimiți un **email la adresa: adeverinte.acs@upb.ro**, cu precizarea următoarelor trei elemente:

1. **Numele și prenumele**
2. **Anul și grupa de studiu**
3. **Motivul solicitării adeverinței**

## Cum primești adeverința?

- **Format electronic (scanat):** Adeverința scanată va fi trimisă ca răspuns prin email. Se recomandă utilizarea acestei forme ori de câte ori este posibil.
- **Format fizic:** Adeverința în format fizic va fi depusă la finalul zilei de lucru în care a fost trimisă, la **postul de pază din clădirea Precis**, și poate fi ridicată pe baza **documentului de identitate**.

> ⚠️ Se recomandă să vii să ridici adeverința în format fizic **doar dacă forma scanată nu este acceptată** de instituția care o solicită.

---

Pentru orice alte întrebări, poți contacta secretariatul la adresa: **secretariat.acs@upb.ro**",
28,Unde mă adresez pentru modificarea grupei?,"Pe baza informațiilor disponibile, nu pot oferi un răspuns specific despre procedura de modificare a grupei la Facultatea de Automatică și Calculatoare.

**Îți recomand să te adresezi direct:**

- **Secretariatului facultății** – acesta este primul punct de contact pentru solicitări administrative de acest tip
- **Îndrumătorului de an/grupă** – conform Codului drepturilor și obligațiilor studentului, ai dreptul să beneficiezi de un îndrumător de an/secție/grupă din rândul cadrelor didactice

Pentru informații precise despre procedura și documentele necesare modificării grupei, cel mai bine este să contactezi **secretariatul ACS** direct, fie în persoană, fie prin intermediul site-ului oficial al facultății.",
29,Care sunt condițiile pentru a beneficia de bursă de merit?,"# Condiții pentru Bursa de Merit (Performanță)

Conform metodologiei în vigoare pentru anul universitar 2024-2025, bursele de merit sunt denumite **burse de performanță** și sunt împărțite în trei grade:

---

## 🥇 Bursa de Performanță Gradul I
- Medie generală **≥ 9,70** în anul precedent
- Minimum **30 de puncte** obținute conform criteriilor din Anexa nr. 1 a metodologiei (activități extra-curriculare: concursuri, cercetare, publicații etc.)
- Se acordă **doar studenților din anii II-IV** (licență) sau **anul II** (masterat)
- Necesită depunerea unui **dosar** până pe **10 octombrie**, conținând: cerere + CV, participări la concursuri, lucrări publicate, contracte de cercetare etc.

---

## 🥈 Bursa de Performanță Gradul II
- Medie **peste 9,50**
- În limita bugetului alocat

---

## 🥉 Bursa de Performanță Gradul III
- Medie **≥ 8,00**
- În limita bugetului disponibil
- Se poate acorda și studenților din **anul I** (pe baza mediei de admitere)

---

## 📅 Cum se calculează media?
- **Semestrul I**: se ia în considerare media generală din **anul anterior**
- **Semestrul II**: se ia în considerare media din **semestrul I**
- **Excepție**: în primul semestru al anului I, bursa se acordă în funcție de **media de intrare**

---

> ⚠️ Un student **nu poate primi două burse** din aceeași categorie simultan, dar poate opta pentru cea cu valoare mai mare.",
30,Cum prelungesc contractul de cazare în cămin?,"Informațiile disponibile nu conțin detalii specifice despre **prelungirea** unui contract de cazare existent. Sursele disponibile descriu procedura de cazare inițială (pentru începutul anului universitar sau pentru perioada de vară), nu procedura de prelungire a unui contract deja existent.

Iată ce îți recomand:

1. **Contactează administrația căminului** în care locuiești – aceștia sunt cei mai în măsură să îți explice procedura de prelungire a contractului.

2. **Contactează secretariatul Facultății de Automatică și Calculatoare** sau **Comisia de cazare** a facultății pentru informații suplimentare.

3. **Verifică platforma [studenti.pub.ro](https://studenti.pub.ro)** – aceasta este platforma oficială unde sunt afișate repartizările și informațiile legate de cazare.

Pentru cazarea pe **perioada verii**, conform informațiilor disponibile, este necesară completarea unui formular și achitarea regiei de cămin aferente, dar aceasta reprezintă o procedură separată, nu o prelungire propriu-zisă a contractului anual.

Îți sugerez să te adresezi direct administrației căminului sau decanatului pentru a obține informații precise despre prelungirea contractului tău de cazare.",
31,Când are loc sesiunea de examene din iarnă?,"Din informațiile disponibile, nu am date exacte despre datele sesiunii de examene din iarnă pentru anul universitar curent (2025-2026).

Ceea ce pot confirma este că există o **sesiune de examene din iarnă** (ianuarie-februarie), menționată în mai multe documente în contextul acordării burselor de performanță. De exemplu, bursele de performanță se revizuiesc după sesiunea din iarnă.

De asemenea, există o pagină pe site-ul facultății dedicată **programării examenelor din sesiunea ianuarie – februarie 2025**, publicată pe **20.01.2025**, însă datele exacte ale sesiunii nu sunt incluse în informațiile furnizate.

**Recomandări pentru a afla datele exacte:**
- Verificați site-ul oficial al facultății: **acs.pub.ro** (secțiunea Noutăți sau Orar)
- Consultați **secretariatul facultății**
- Verificați platforma **curs.pub.ro**",
32,Care este perioada sesiunii de restanțe din vară?,"Conform calendarului anului universitar 2025-2026, sesiunea de restanțe din vară (semestrul 2) se desfășoară în perioada **30 mai – 12 iunie 2026**.",
33,Până când pot depune cererea de reexaminare după afișarea notelor?,"Îmi pare rău, dar nu am informații specifice despre termenul de depunere a cererii de **reexaminare** după afișarea notelor în cadrul Facultății de Automatică și Calculatoare.

Din sursele disponibile, am informații doar despre:
- **Contestații la admitere** (licență/masterat) – care pot fi depuse în termen de **24 de ore** de la afișarea rezultatelor preliminare
- **Contestații la selecția Erasmus+** – care pot fi depuse în termen de **48 de ore** de la afișarea listelor cu rezultate

Pentru informații precise despre procedura de reexaminare (mărire de notă), vă recomand să consultați:
- **Regulamentul privind organizarea și desfășurarea procesului de învățământ** de pe site-ul UPB/ACS
- **Secretariatul facultății** – care vă poate oferi informații actualizate despre termenele și procedura de reexaminare",
34,Când începe semestrul al doilea?,"Pe baza informațiilor disponibile, semestrul al doilea al anului universitar 2025-2026 începe în **23 februarie 2026** (pentru studenții din anii I-III și masteranzi) sau **23 februarie 2026** (pentru studenții din anul IV, conform calendarului specific acestora).

Procesul didactic din semestrul al doilea se desfășoară în perioada **23 februarie – 01 mai 2026**, urmând ca sesiunea de examene să aibă loc în perioada **30 mai – 19 iunie 2026**.",
35,Care este termenul limită pentru depunerea lucrării de diplomă?,"Conform informațiilor disponibile, termenele limită pentru depunerea (încărcarea) lucrării de diplomă variază în funcție de sesiunea de examen. Iată datele menționate în sursele disponibile:

**Sesiunea iunie-iulie 2020:**
- Lucrarea de diplomă trebuia încărcată pe platformă până cel târziu **miercuri, 24 iunie 2020, ora 15:00**
- Lucrarea de disertație trebuia încărcată până cel târziu **miercuri, 17 iunie 2020, ora 15:00**

**Sesiunea iunie-iulie 2021:**
- Termenul limită pentru depunerea proiectului de diplomă (Etapa 2) era **30 iunie 2021, ora 23:59**
- Termenul limită pentru depunerea lucrării de disertație (Etapa 2) era **23 iunie 2021, ora 23:59**

**Sesiunea februarie-martie 2021:**
- Perioada de înscriere (inclusiv încărcarea lucrării) era **15-19 februarie 2021**

---

⚠️ **Important:** Aceste date sunt din anii universitari anteriori (2020-2021). Termenele exacte pentru sesiunea curentă pot fi diferite. Vă recomand să verificați:
- **Platforma** [studenti.pub.ro](https://studenti.pub.ro)
- **Site-ul facultății** sau avizierele acesteia
- **Secretariatul** Facultății de Automatică și Calculatoare",
